,State,AreaName,M_Poverty,F_Poverty,Med_Income,Med_Income_White,Med_Income_Black,Med_Income_Nat_Am,Med_Income_Asian,Hispanic,Incidence_Rate,Avg_Ann_Incidence,Mortality_Rate,Avg_Ann_Deaths,All_With,All_Without,Population
1435,MO,"Harrison County, Missouri",676,809,39301.0,39569.0,,,,40556.0,796.0,11,55.6,8,7282,1254,8536
1436,MO,"Henry County, Missouri",1852,2279,42181.0,42236.0,68833.0,70020.0,,,1003.0,33,83.6,28,18818,2976,21794
1437,MO,"Hickory County, Missouri",992,1402,32122.0,32780.0,,20208.0,,,734.0,16,62.0,13,7515,1739,9254
1438,MO,"Holt County, Missouri",269,286,42500.0,43222.0,,,,48750.0,683.0,5,43.1,3,3939,559,4498
1439,MO,"Howard County, Missouri",768,819,44820.0,46544.0,41250.0,21429.0,,,546.0,7,39.9,5,9116,939,10055
1440,MO,"Howell County, Missouri",4270,4888,32784.0,32650.0,,15455.0,,,814.0,44,65.0,36,34781,5110,39891
1441,MO,"Iron County, Missouri",1090,1203,36239.0,36659.0,22917.0,20938.0,,105625.0,1033.0,16,58.5,9,8341,1638,9979
1442,MO,"Jackson County, Missouri",53111,66567,46869.0,54974.0,31492.0,30028.0,49490.0,34168.0,753.0,542,55.3,398,575764,98480,674244
1443,MO,"Jasper County, Missouri",8607,10949,41811.0,42224.0,25515.0,35250.0,,35396.0,858.0,109,60.7,78,97836,18231,116067
1444,MO,"Jefferson County, Missouri",11024,12913,55348.0,55751.0,38389.0,38500.0,83750.0,52917.0,859.0,195,71.6,157,197639,22342,219981
1445,MO,"Johnson County, Missouri",4131,4276,49792.0,50856.0,40158.0,31541.0,47989.0,41678.0,661.0,33,54.1,26,45231,5308,50539
1446,MO,"Knox County, Missouri",384,439,38289.0,38365.0,,,,39792.0,927.0,6,81.5,5,3101,857,3958
1447,MO,"Laclede County, Missouri",3199,3617,39712.0,40029.0,,61118.0,2499.0,44762.0,765.0,35,60.9,27,29293,5827,35120
1448,MO,"Lafayette County, Missouri",1584,2122,50723.0,51152.0,38971.0,,,33125.0,739.0,32,50.1,21,29171,3233,32404
1449,MO,"Lawrence County, Missouri",3252,3800,40597.0,40735.0,,45938.0,74519.0,35231.0,665.0,34,53.7,27,31990,5667,37657
1450,MO,"Lewis County, Missouri",532,683,43909.0,43913.0,39500.0,,,51793.0,799.0,11,68.9,9,8940,1029,9969
1451,MO,"Lincoln County, Missouri",3595,4385,53718.0,54425.0,42428.0,,16453.0,,877.0,45,67.8,35,47390,5977,53367
1452,MO,"Linn County, Missouri",1008,1188,37997.0,38542.0,32500.0,,,20227.0,915.0,17,65.6,12,10594,1730,12324
